From	To
A0QPM3	MSMEG_0448
I7FDE2	MSMEI_0437
A0QPM4	MSMEG_0449
I7G395	MSMEI_0438
A0QPM6	MSMEG_0451
I7G1V2	MSMEI_0440
A0QPM8	aroK
I7FWF5	MSMEI_0441
A0QPM9	MSMEG_0454
I7FDE7	MSMEI_0442
A0QPN0	MSMEG_0455
A0QPN1	topoM
A0QPN2	topoN
A0QPN5	MSMEG_0460
I7FDF1	MSMEI_0447
I7FWG0	MSMEI_0451
A0QPN9	MSMEG_0465
I7FDF6	MSMEI_0452
A0QPP0	MSMEG_0464
I7G3A6	MSMEI_0453
A0QPP1	MSMEG_0466
I7G1W0	MSMEI_0455
A0QPP3	MSMEG_0469
I7FDG1	MSMEI_0457
A0QPP5	MSMEG_0471
I7F5R7	MSMEI_0459
A0QPP7	MSMEG_0472
I7FDH0	MSMEI_0467
A0QPQ5	MSMEG_0480
I7FWH2	MSMEI_0471
A0QPQ9	MSMEG_0484
I7G3C6	MSMEI_0478
A0QPR6	MSMEG_0491
I7G3D4	MSMEI_0488
A0QPS5	MSMEG_0501
I7F5U6	MSMEI_0489
A0QPS6	MSMEG_0502
I7G1X8	MSMEI_0490
A0QPS7	MSMEG_0503
I7FWI2	MSMEI_0491
A0QPS8	MSMEG_0504
A0QPS9	MSMEG_0505
I7FDJ1	MSMEI_0492
I7G1Y0	MSMEI_0495
A0QPT2	MSMEG_0508
I7FWI5	MSMEI_0496
A0QPT3	MSMEG_0509
A0QR29	mspA
A0R3I3	mspC
A0QPU4	mspB
A0R541	mspD
I7F5W8	MSMEI_0509
A0QPU6	MSMEG_0523
I7G1Z1	MSMEI_0515
A0QPV3	MSMEG_0530
I7FWJ6	MSMEI_0516
A0QPV4	MSMEG_0531
A0QPV5	MSMEG_0532
I7FDL1	MSMEI_0517
A0QPV8	MSMEG_0535
I7G1Z3	MSMEI_0520
I7FWK0	MSMEI_0521
A0QPV9	MSMEG_0536
I7FDL5	MSMEI_0522
A0QPW0	MSMEG_0537
I7G3G2	MSMEI_0523
A0QPW1	MSMEG_0538
I7F5Y3	MSMEI_0524
A0QPW2	MSMEG_0539
I7G1Z5	MSMEI_0525
A0QPW3	MSMEG_0540
A0QPW5	MSMEG_0542
I7FDL9	MSMEI_0527
I7G3G6	MSMEI_0528
A0QPW6	MSMEG_0544
I7FWK6	MSMEI_0531
A0QPW9	MSMEG_0546
I7FDM3	MSMEI_0532
A0QPX0	MSMEG_0548
I7FYP8	MSMEI_1690
I7FGA1	MSMEI_3972
A0QZL8	MSMEG_4072
I7G3H0	MSMEI_0533
A0QPX1	MSMEG_0547
I7GF20	MSMEI_5732
I7G0P2	MSMEI_2734
A0R4N0	MSMEG_5891
A0QW49	MSMEG_2805
I7G200	MSMEI_0535
A0QPX3	MSMEG_0550
I7FWK9	MSMEI_0536
A0QPX4	MSMEG_0551
I7FDM7	MSMEI_0537
A0QPX5	MSMEG_0552
I7G3H3	MSMEI_0538
A0QPX6	MSMEG_0553
I7G3H8	MSMEI_0543
A0QPY1	MSMEG_0558
I7F603	cspA
A0QPY2	MSMEG_0559
I7FDN6	MSMEI_0547
A0QPY5	MSMEG_0563
I7G3I2	MSMEI_0548
A0QPY6	MSMEG_0562
I7FWM3	mmpL6
A0QPZ9	MSMEG_0576
I7F623	MSMEI_0564
A0QQ02	MSMEG_0580
I7FWM6	gabT
A0QQ04	gabT
I7FDQ7	MSMEI_0567
A0QQ05	MSMEG_0582
I7G3K2	MSMEI_0573
A0QQ12	rhaI
I7FWN2	MSMEI_0576
A0QQ15	MSMEG_0592
I7G3K6	MSMEI_0578
A0QQ17	MSMEG_0594
I7F638	MSMEI_0579
A0QQ18	MSMEG_0595
I7FDS0	MSMEI_0582
A0QQ21	MSMEG_0597
I7F643	MSMEI_0584
A0QQ23	MSMEG_0600
I7FDS5	fadE6
A0QQ26	MSMEG_0603
I7G3L2	MSMEI_0588
A0QQ27	MSMEG_0604
I7FWP0	MSMEI_0591
A0QQ30	MSMEG_0608
A0QQ31	MSMEG_0607
I7FDT1	MSMEI_0592
I7FDT6	MSMEI_0597
A0QQ36	MSMEG_0613
A0QQ37	MSMEG_0614
A0QQ38	eccA3
A0QQ39	eccB3
A0QQ40	eccC3
A0QQ46	eccD3
I7G3M7	MSMEI_0608
A0QQ47	MSMEG_0624
A0QQ48	eccE3
I7G239	MSMEI_0610
A0QQ49	MSMEG_0625
I7FDU9	MSMEI_0612
A0QQ51	MSMEG_0628
I7G3M9	tam
A0QQ52	MSMEG_0629
I7FWQ4	MSMEI_0616
A0QQ54	MSMEG_0632
I7G3N2	MSMEI_0618
A0QQ56	MSMEG_0633
I7G243	MSMEI_0620
A0QQ58	MSMEG_0636
I7FWQ6	MSMEI_0621
A0QQ59	MSMEG_0637
I7FDV8	MSMEI_0622
A0QQ60	MSMEG_0638
I7G3N5	MSMEI_0623
A0QQ61	MSMEG_0639
I7F683	MSMEI_0624
A0QQ62	MSMEG_0640
I7G245	MSMEI_0625
A0QQ63	MSMEG_0641
I7FWQ8	MSMEI_0626
A0QQ64	MSMEG_0642
I7FDW2	MSMEI_0627
A0QQ65	MSMEG_0643
A0QQ67	MSMEG_0645
I7F688	MSMEI_0629
I7G3P4	MSMEI_0638
A0QQ76	MSMEG_0655
I7FWS0	MSMEI_0646
A0QQ84	MSMEG_0663
I7F6A6	MSMEI_0649
A0QQ87	MSMEG_0665
I7FDY6	MSMEI_0652
A0QQ90	MSMEG_0670
I7F6B2	MSMEI_0654
A0QQ92	MSMEG_0671
A0QQ93	MSMEG_0672
I7G260	MSMEI_0655
I7G3R1	cyp144
A0QQ96	MSMEG_0675
A0QQ98	dcd
A0QQ99	MSMEG_0679
I7FWS9	MSMEI_0662
I7F6C2	MSMEI_0665
A0QQA2	MSMEG_0682
I7G265	MSMEI_0666
A0QQA3	MSMEG_0683
I7FWT1	MSMEI_0667
A0QQA4	MSMEG_0684
I7FE04	MSMEI_0668
A0QQA5	MSMEG_0685
I7G3S0	MSMEI_0669
A0QQA6	MSMEG_0686
I7F6C8	MSMEI_0670
A0QQA7	MSMEG_0687
A0QQA8	MSMEG_0688
I7G268	aspC
I7FE09	MSMEI_0673
A0QQB0	MSMEG_0690
I7G3S5	MSMEI_0674
A0QQB1	MSMEG_0691
I7F6D3	MSMEI_0675
A0QQB2	MSMEG_0692
I7G3S9	MSMEI_0679
A0QQB5	MSMEG_0696
I7G273	iniC
A0QQB7	MSMEG_0698
I7F6E6	MSMEI_0685
A0QQC1	MSMEG_0702
I7G275	MSMEI_0686
A0QQC2	MSMEG_0703
I7G278	MSMEI_0691
A0QQC7	MSMEG_0708
A0QQC8	dnaK
I7FE35	grpE
A0QQC9	grpE
I7G3U3	dnaJ1
A0QQD0	dnaJ
I7F6F8	hspR
A0QQD1	MSMEG_0713
I7G282	MSMEI_0696
A0QQD2	MSMEG_0712
I7FWU9	MSMEI_0697
A0QQD3	MSMEG_0714
I7G284	MSMEI_0701
A0QQD7	MSMEG_0717
A0QQD8	MSMEG_0719
I7FWV3	MSMEI_0702
I7G936	MSMEI_0707
A0QQE2	MSMEG_0724
A0QT56	MSMEG_1720
I7F6H8	MSMEI_0715
A0QQE9	MSMEG_0731
I7G296	clpB
A0QQF0	clpB
I7FWW3	MSMEI_0717
A0QQF1	dapB
I7FE62	MSMEI_0718
A0QQF2	MSMEG_0734
I7F6I5	MSMEI_0720
A0QQF4	MSMEG_0736
I7G2A0	MSMEI_0721
A0QQF5	MSMEG_0737
I7FWW6	MSMEI_0722
A0QQF6	MSMEG_0738
I7FE69	MSMEI_0723
A0QQF7	MSMEG_0739
I7G3W7	MSMEI_0724
A0QQF8	MSMEG_0740
I7F6J0	MSMEI_0725
A0QQF9	MSMEG_0741
I7FWX0	MSMEI_0727
A0QQG1	MSMEG_0743
I7F6K3	MSMEI_0735
A0QQG9	MSMEG_0750
I7G2B1	fba
A0QQH0	fbaA
I7FWX6	MSMEI_0737
A0QQH1	MSMEG_0753
A0QQH2	MSMEG_0754
I7FE87	MSMEI_0738
A0QQH3	MSMEG_0755
I7G3X9	MSMEI_0739
A0QQH6	MSMEG_0758
I7FWY0	MSMEI_0742
A0QQH7	purA
I7G3Y3	MSMEI_0744
A0QQH8	MSMEG_0760
I7G2B8	MSMEI_0746
A0QQI0	MSMEG_0762
A0QQI1	MSMEG_0763
I7FWY3	MSMEI_0747
I7FEA0	MSMEI_0748
A0QQI2	MSMEG_0764
I7G3Y6	MSMEI_0749
A0QQI3	MSMEG_0765
A0QQI4	purT
I7F6L3	purT
I7G2C1	MSMEI_0751
A0QQI5	MSMEG_0767
I7FWY8	MSMEI_0752
A0QQI6	MSMEG_0768
I7FEA6	metZ
A0QQI7	metZ
I7F6L9	MSMEI_0755
A0QQI9	MSMEG_0771
I7F6M4	MSMEI_0760
A0QQJ3	MSMEG_0775
A0QQJ4	fgd
A0QQJ6	MSMEG_0779
I7FEB9	MSMEI_0763
I7G2D5	MSMEI_0766
A0QQJ9	MSMEG_0782
I7FWZ7	pta
A0QQK0	pta
A0QQK1	ackA
A0QQK3	pknG
I7G2D9	glnH
A0QQK4	MSMEG_0787
A0QQK7	thiE
A0QQK8	thiO
I7F6N2	thiO
I7G2E2	thiS
A0QQK9	thiS
A0QQL0	thiG
I7G415	MSMEI_0779
A0QQL2	MSMEG_0795
I7FX10	MSMEI_0787
A0QQM2	MSMEG_0806
I7FX14	MSMEI_0792
A0QQM7	MSMEG_0810
I7F6P9	MSMEI_0795
A0QQN0	MSMEG_0815
A0QQN1	MSMEG_0814
I7G2G0	MSMEI_0796
I7F6Q4	MSMEI_0800
A0QQN5	MSMEG_0819
I7G2G4	MSMEI_0801
A0QQN6	MSMEG_0821
I7G438	MSMEI_0804
A0QQN9	MSMEG_0823
I7F6R1	MSMEI_0805
A0QQP0	MSMEG_0824
I7G2G7	thiD
A0QQP1	thiD
I7G442	MSMEI_0809
A0QQP4	MSMEG_0828
I7F6R7	xthA
A0QQP5	xth
I7FX29	MSMEI_0812
A0QQP7	MSMEG_0830
A0QQP8	def
I7G446	MSMEI_0814
A0QQP9	MSMEG_0833
I7F6S5	MSMEI_0815
A0QQQ0	MSMEG_0834
I7G2H6	sodC
A0QQQ1	sodC
A0QQQ2	MSMEG_0836
I7G449	MSMEI_0819
A0QQQ4	MSMEG_0838
I7F6T3	MSMEI_0820
A0QQQ5	MSMEG_0839
A0QQQ7	MSMEG_0842
I7FEI3	MSMEI_0823
A0QQQ8	MSMEG_0843
I7F6T8	MSMEI_0825
A0QQR0	MSMEG_0845
I7G2I4	MSMEI_0826
A0QQR1	MSMEG_0846
I7FX42	MSMEI_0827
A0QQR2	MSMEG_0847
I7FEI8	MSMEI_0828
A0QQR3	MSMEG_0848
I7FEK0	MSMEI_0838
A0QQS3	MSMEG_0859
I7G468	MSMEI_0839
A0QQS4	MSMEG_0858
A0QQS6	psd
I7FX50	moaE2
A0QQS7	MSMEG_0862
I7FEK4	MSMEI_0843
A0QQS8	MSMEG_0863
A0QQS9	MSMEG_0864
I7G473	MSMEI_0844
I7F6W5	MSMEI_0845
A0QQT0	MSMEG_0865
I7G2K2	MSMEI_0846
A0QQT1	MSMEG_0867
A0QQT9	MSMEG_0874
I7G482	MSMEI_0854
I7G2L0	MSMEI_0856
A0QQU1	MSMEG_0877
I7FX58	MSMEI_0857
A0QQU2	MSMEG_0876
A0QQU5	groL1
I7G2L4	MSMEI_0861
A0QQU7	MSMEG_0882
I7FX61	MSMEI_0862
A0QQU8	MSMEG_0883
I7FEM7	MSMEI_0863
A0QQU9	MSMEG_0884
I7F6Z1	pknF
A0QQV1	MSMEG_0886
I7G2L8	MSMEI_0866
A0QQV2	MSMEG_0887
I7FEN2	gabD2
A0QQV4	MSMEG_0889
I7G498	MSMEI_0869
A0QQV5	MSMEG_0890
I7G2N4	MSMEI_0871
A0QQV7	MSMEG_0892
I7FER6	MSMEI_0873
A0QQV9	MSMEG_0894
I7G4C3	MSMEI_0874
A0QQW0	MSMEG_0895
I7G2P2	MSMEI_0876
A0QQW2	MSMEG_0897
I7FX91	MSMEI_0877
A0QQW3	MSMEG_0898
I7FES7	MSMEI_0878
A0QQW4	MSMEG_0899
I7G4D2	MSMEI_0879
A0QQW5	MSMEG_0900
I7F727	MSMEI_0880
A0QQW6	MSMEG_0901
I7FX95	lpd
A0QQW8	lpdA
I7G4D8	MSMEI_0884
A0QQX0	pcaC
I7F730	MSMEI_0885
A0QQX1	MSMEG_0906
A0QQX4	MSMEG_0909
I7FEU1	MSMEI_0888
I7G4E1	icl
A0QQX6	aceA
I7F734	fadB2
A0QQX7	MSMEG_0912
I7G2Q2	umaA
A0QQX8	MSMEG_0913
A0QQY0	MSMEG_0915
I7FEU6	MSMEI_0893
I7G4E7	MSMEI_0894
A0QQY1	MSMEG_0916
A0QQY2	MSMEG_0917
I7F739	MSMEI_0895
I7G2Q6	MSMEI_0896
A0QQY3	MSMEG_0918
I7F743	deoC
A0QQY7	deoC
I7G2Q9	MSMEI_0901
A0QQY8	MSMEG_0923
A0QQZ1	MSMEG_0926
I7G4F5	MSMEI_0904
I7F749	MSMEI_0905
A0QQZ2	MSMEG_0927
A0QQZ3	murB
I7FXB2	MSMEI_0907
A0QQZ4	MSMEG_0929
I7FEW0	MSMEI_0908
A0QQZ5	MSMEG_0930
A0QQZ8	mshA
I7G2R4	MSMEI_0911
A0QQZ9	MSMEG_0934
I7FXB6	gpmA
A0QR00	gpmA
A0QR01	senX3
I7F758	MSMEI_0915
A0QR03	MSMEG_0938
I7FXB8	MSMEI_0917
A0QR05	MSMEG_0940
I7FEW8	MSMEI_0918
A0QR06	MSMEG_0941
I7G4G4	MSMEI_0919
A0QR07	MSMEG_0942
I7F763	proC
A0QR08	proC
A0QR09	MSMEG_0944
I7G2S1	MSMEI_0921
I7FEX6	MSMEI_0923
A0QR12	MSMEG_0947
I7G4G7	MSMEI_0924
A0QR13	MSMEG_0948
A0QR14	MSMEG_0949
I7F768	MSMEI_0925
A0QR17	hemA
I7FEY1	hemC
A0QR18	hemC
A0QR19	hemD
I7G4G9	MSMEI_0929
I7F771	hemB
